13-5726163      Overington,       Gill 22    15.83 $348.26 $327.36
33-1026121      Shaudfurth,   Bendicty 24    10.22 $245.28 $230.56
11-1194240         Kliment,     Kelsey 17    59.64 $1,013.88 $953.05
27-2397085        Pahlsson,     Mariel 29    16.89 $489.81 $460.42
84-3000783       McAnellye,     Barron 29    20.77 $602.33 $566.19
55-4612597             Dog,    Eugenia 21    36.35 $763.35 $717.55
63-1281106       Cauldwell,      Vonny 35    56.57 $1,979.95 $1,861.15
92-4958479          Tonner,      Margi 20    54.31 $1,086.20 $1,021.03
48-9478728       Ferronier,       Dina 15    18.77 $281.55 $264.66
55-2044549          Fields,     Nichol 23    22.11 $508.53 $478.02
99-5995871        Bolderoe,      Lorie 36    26.08 $938.88 $882.55
97-6566644        Desseine,       Kial 36    21.31 $767.16 $721.13
58-1098199          Fotitt,        Zoe 23    22.23 $511.29 $480.61
58-1993733          Siflet,    Sharity 38    56.84 $2,159.92 $2,030.32
34-1570251          Poxson,    Dominik 16    49.39 $790.24 $742.83
26-8960258          Jelphs,      Gussi 18    48.21 $867.78 $815.71
78-6217489              Uc,      Merna 15    21.67 $325.05 $305.55
00-4624874          Kynett,     Julita 37    36.37 $1,345.69 $1,264.95
71-6307038            Odam,      Alysa 27    28.72 $775.44 $728.91
05-3562117         O'Regan,    Shandie 38    16.95 $644.10 $605.45
06-3484779         Fenelon,    Westley 32    10.95 $350.40 $329.38
57-4886998           Spire,      Lonny 33    36.85 $1,216.05 $1,143.09
81-7885718          Kidner,     Isidro 38    24.98 $949.24 $892.29
27-0392265        Iannello,     Ilyssa 17    31.19 $530.23 $498.42
41-8513463        Solloway,       Gare 38    15.21 $577.98 $543.30
51-9913075          Lilian,    Padraig 31    44.96 $1,393.76 $1,310.13
18-4880741        McDougle,    Agnella 15    53.02 $795.30 $747.58
04-8528213        Moriarty,       Hedy 19    18.87 $358.53 $337.02
14-5245692            Blum,      Maris 36    20.62 $742.32 $697.78
20-0142744           Lunck,      Reube 32    50.99 $1,631.68 $1,533.78
93-8308778        Phythian,       Lola 28    49.76 $1,393.28 $1,309.68
66-8911154           Meade,        Erv 34    35.99 $1,223.66 $1,150.24
13-3365473          Tudgay,     Jordan 37    11.69 $432.53 $406.58
21-1110983         Blanket,    Simonne 26    41.02 $1,066.52 $1,002.53
92-9179758           Hales,    Magdaia 21    57.14 $1,199.94 $1,127.94
86-1698873         Peinton,      Ozzie 28    48.47 $1,357.16 $1,275.73
37-1504147         Woodrow,  Michaella 32    35.25 $1,128.00 $1,060.32
57-4159555          Stithe,     Wendye 20    11.96 $239.20 $224.85
12-7522026            Nind,       Kiel 32    13.12 $419.84 $394.65
53-7449482          Goomes,     Robbin 37    51.86 $1,918.82 $1,803.69
71-0476433      Middleweek,   Tremaine 34    44.73 $1,520.82 $1,429.57
46-9438781        Mathouse,      Nance 29    45.56 $1,321.24 $1,241.97
40-6031449         Murphey,     Barbee 23    14.67 $337.41 $317.17
78-2630730            Hugh,    Thaxter 15    31.95 $479.25 $450.49
21-6018408          Tankin,     Reider 30    36.64 $1,099.20 $1,033.25
39-8977282         Jadczak,     Correy 26    49.69 $1,291.94 $1,214.42
18-6150312        Skerrett,     Barron 40    59.82 $2,392.80 $2,249.23
81-0847495        Lavarack,   Janeczka 18    41.97 $755.46 $710.13
55-6991266        Stockman,     Graeme 16    19.62 $313.92 $295.08
38-7399398        Cornhill,      Kelby 35    19.09 $668.15 $628.06
31-7550239       Pilsworth,  Benedikta 27    24.47 $660.69 $621.05
12-8463999          Lassey,       Rees 27    32.85 $886.95 $833.73
22-1289947        Le Fevre,       Ilka 36    49.60 $1,785.60 $1,678.46
66-0519762          Emslie,    Harwell 21    22.47 $471.87 $443.56
77-0449138           Lawty,        Ode 18    40.35 $726.30 $682.72
14-6170890          Barnes,      Laird 28    43.17 $1,208.76 $1,136.23
86-3512511         Becaris,     Alayne 29    12.24 $354.96 $333.66
76-2883693          Avison,      Donna 24    32.05 $769.20 $723.05
48-4975039      Thombleson,      Meggy 20    18.92 $378.40 $355.70
74-7320186         Sellers,       Arvy 20    17.55 $351.00 $329.94
92-5479275          Peasee,      Duffy 24    51.11 $1,226.64 $1,153.04
22-9550328          Sowrah,   Jedediah 30    28.80 $864.00 $812.16
98-2831539           Caret,    Derrick 31    21.57 $668.67 $628.55
18-8754993          Charer,   Melloney 35    23.96 $838.60 $788.28
72-3760295          Lonnon,      Sarge 34    59.55 $2,024.70 $1,903.22
16-9035116           Buret,     Angeli 26    55.35 $1,439.10 $1,352.75
37-8603739      Van Geffen,    Joannes 37    57.23 $2,117.51 $1,990.46
05-1941993          Branch,    Dominga 22    36.47 $802.34 $754.20
31-3337150        Piddocke,      Pansy 33    16.85 $556.05 $522.69
94-5360128         Ferrick,   Jermayne 40    15.59 $623.60 $586.18
86-6838921          Metson,     Ursola 28    59.08 $1,654.24 $1,554.99
41-9573741        Skittles,      Carlo 23    44.14 $1,015.22 $954.31
97-9202867       Benallack,       Fara 28    32.60 $912.80 $858.03
28-9230907         Weepers,      Carri 31    23.52 $729.12 $685.37
73-7159106       Hendrickx,       Tomi 40    14.67 $586.80 $551.59
31-5546406          Edeler,  Frasquito 24    38.40 $921.60 $866.30
62-8037098          Allatt,   Greggory 16    37.01 $592.16 $556.63
25-7632564            Gile,     Dallis 18    11.30 $203.40 $191.20
03-0683308       Edworthye,    Carolyn 29    11.37 $329.73 $309.95
31-3760886           Keats,      Bibby 33    44.84 $1,479.72 $1,390.94
98-4469064         Siddall,        Bob 35    33.53 $1,173.55 $1,103.14
15-7907984         Dulanty,       Amie 25    36.06 $901.50 $847.41
54-8066888       Doumerque,   Nicholle 23    27.57 $634.11 $596.06
90-3993784           Scini,   Rosaline 33    26.48 $873.84 $821.41
42-8545316          Wroath,     Nariko 29    47.42 $1,375.18 $1,292.67
27-4615394             Ert,    Esteban 32    33.04 $1,057.28 $993.84
47-3724136         Milmore,  Margarete 38    25.14 $955.32 $898.00
37-2835464          Aggett,    Whitney 21    58.34 $1,225.14 $1,151.63
62-3124667           Vinau,       Mala 18    23.19 $417.42 $392.37
93-6432742         Schutte,    Novelia 21    24.68 $518.28 $487.18
47-9444792          Munsey,     Martha 20    35.67 $713.40 $670.60
00-9814917        Edbrooke,   Fionnula 35    27.24 $953.40 $896.20
93-7077864           Morad,      Garvy 18    33.15 $596.70 $560.90
93-2642220     Phizackerly,     Dionis 19    12.89 $244.91 $230.22
17-1623083            Marr,      Amory 38    59.66 $2,267.08 $2,131.06
79-6267491           Biset,    Clarice 37    19.62 $725.94 $682.38
81-5945835           Fores,    Lynnett 21    46.55 $977.55 $918.90
36-4514935           Stihl,     Reggie 18    37.82 $680.76 $639.91
05-7838208      Josofovitz,    Larissa 20    56.77 $1,135.40 $1,067.28
59-9878253         Bussons,     Louise 35    40.80 $1,428.00 $1,342.32
52-0413485        Barnwill,      Peria 35    41.36 $1,447.60 $1,360.74
35-8841116           Spear,    Robinet 25    59.67 $1,491.75 $1,402.25
94-4952781          Pechet,       Lena 38    10.76 $408.88 $384.35
00-3879983          Vasile,    Annette 31    21.03 $651.93 $612.81
58-6032772         Newbatt,      Berti 16    16.21 $259.36 $243.80
55-3490747        Escalera,   Zedekiah 36    51.77 $1,863.72 $1,751.90
86-2296687          Matura,    Alfredo 25    59.11 $1,477.75 $1,389.08
48-1239676           Benns,      Amata 25    49.91 $1,247.75 $1,172.89
62-0898896      Le Pruvost,       Arte 30    37.50 $1,125.00 $1,057.50
85-8073843        Surpliss,    Delores 31    12.11 $375.41 $352.89
69-1474497         Echelle,   Catherin 25    21.31 $532.75 $500.78
07-1726337     Eixenberger,    Kalindi 17    34.78 $591.26 $555.78
38-3176794        Drysdall,     Meriel 18    51.78 $932.04 $876.12
30-6307032        Lavallin,     Estell 19    50.05 $950.95 $893.89
95-1877859       Artindale,   Franchot 24    53.54 $1,284.96 $1,207.86
04-9449122        Hellings,      Debby 21    37.69 $791.49 $744.00
22-3286617      Kensington,     Velvet 31    19.60 $607.60 $571.14
23-5323883        Bearcock,       Tobe 29    30.31 $878.99 $826.25
93-1058768     Claringbold,  Christyna 27    37.47 $1,011.69 $950.99
49-8245772       Hanscombe,      Trixy 16    17.55 $280.80 $263.95
24-7599660          Eagger,     Darrel 22    32.36 $711.92 $669.20
52-3392735            Haet,      Lanie 21    50.15 $1,053.15 $989.96
40-0059409        Instrell,     Phelia 36    42.70 $1,537.20 $1,444.97
14-2014183      Bretherton,     Collen 31    18.30 $567.30 $533.26
06-5974219         Malecky,      Ester 40    51.10 $2,044.00 $1,921.36
72-8422378      Brandolini,     Josiah 26    48.91 $1,271.66 $1,195.36
21-0519960         Kearton,     Joelle 21    21.10 $443.10 $416.51
71-6640184         Peirson,    Micaela 38    32.04 $1,217.52 $1,144.47
40-0136230        Spafford,       Agna 36    55.80 $2,008.80 $1,888.27
16-7030294          Rulton,     Marlyn 17    10.09 $171.53 $161.24
34-6732951          Cayser,       Ruby 18    20.50 $369.00 $346.86
13-4943907           Gogan,    Caprice 23    46.40 $1,067.20 $1,003.17
49-2049739         Woolmer,      Caleb 23    22.35 $514.05 $483.21
69-2151853        Gheraldi,     Dorian 31    12.35 $382.85 $359.88
33-0905057       McPherson,     Bailie 24    54.59 $1,310.16 $1,231.55
24-1818837   Leatherborrow,        Joe 26    46.35 $1,205.10 $1,132.79
73-9822819           Endle,     Dolley 19    37.19 $706.61 $664.21
82-2660479         Seymark,    Miguela 37    14.07 $520.59 $489.35
17-5735854         Cesconi,     Nancee 35    21.38 $748.30 $703.40
84-0576363           Isack,        Kim 23    42.75 $983.25 $924.26
11-0111796       Roebottom,    Riannon 35    45.46 $1,591.10 $1,495.63
78-3946040           Choat,     Florri 17    29.26 $497.42 $467.57
77-9446497         Dallman,  Nicolette 31    27.73 $859.63 $808.05
17-9821918           Cream,         Ty 30    34.13 $1,023.90 $962.47
34-7338764          Gummer,     Karola 17    44.94 $763.98 $718.14
67-5662772            Mort,      Natty 15    43.30 $649.50 $610.53
69-8676801         Tarborn,       Roze 34    44.76 $1,521.84 $1,430.53
55-5976249     MacAllaster,    Justinn 28    55.01 $1,540.28 $1,447.86
16-1568533         Duligal,  Celestyna 27    15.28 $412.56 $387.81
44-6966882         Physick,     Morgun 23    11.21 $257.83 $242.36
70-4184907        Bukowski,     Barris 31    14.71 $456.01 $428.65
42-4983698         Urridge,      Myrle 39    26.84 $1,046.76 $983.95
92-3851120          Espasa,       Joni 15    10.39 $155.85 $146.50
90-6311313         Brabham,  Ethelbert 28    39.58 $1,108.24 $1,041.75
93-6218631          Farish,   Courtnay 40    28.10 $1,124.00 $1,056.56
45-0685171        Skouling,    Felicia 29    38.37 $1,112.73 $1,045.97
40-7874787         Tomkies,    Maurise 23    31.62 $727.26 $683.62
23-1865890           Garey,   Ursuline 27    12.36 $333.72 $313.70
91-7803984      Tompkinson,     Tiffie 22    17.51 $385.22 $362.11
84-1534986         de Vaen,      Libbi 29    27.38 $794.02 $746.38
95-5329496         Gilbart,      Deana 38    56.34 $2,140.92 $2,012.46
58-6261254           Royle,      Nissa 33    39.14 $1,291.62 $1,214.12
26-8141252         Goretti,    Minette 39    58.04 $2,263.56 $2,127.75
38-7061788         Habbema,       Finn 22    36.34 $799.48 $751.51
23-9304108          Dendle,       Eryn 40    11.23 $449.20 $422.25
33-6843685           Jamme,    Mitchel 40    22.66 $906.40 $852.02
72-9563664          Garham,    Gallard 37    17.87 $661.19 $621.52
71-2747971         Leisman,      Andie 33    26.53 $875.49 $822.96
07-8056358          Annett,   Hamilton 18    56.46 $1,016.28 $955.30
88-3948017       Cancellor,      Roley 16    39.33 $629.28 $591.52
97-8802806          Whitby,   Eldridge 40    18.21 $728.40 $684.70
68-0716613         Stockle,       Ivor 30    36.08 $1,082.40 $1,017.46
10-9225075          Toombs,       Port 26    46.14 $1,199.64 $1,127.66
15-2720099            Tole,     Tamara 33    16.91 $558.03 $524.55
13-1994391          Trayes,     Simone 37    26.49 $980.13 $921.32
39-1433035         McGuane,    Leonora 36    38.93 $1,401.48 $1,317.39
11-3210635          Hugett,       Veda 19    14.88 $282.72 $265.76
25-1518764         Bonifas,   Basilius 34    55.83 $1,898.22 $1,784.33
38-5192400            Till,     Haskel 38    43.70 $1,660.60 $1,560.96
48-8500503          Pailin,     Bealle 26    15.98 $415.48 $390.55
48-3462105       Edmundson,    Russell 36    44.51 $1,602.36 $1,506.22
63-9729969        Grimsell,     Clemmy 35    30.76 $1,076.60 $1,012.00
74-2982055          Bosdet,      Brook 22    33.00 $726.00 $682.44
78-2179272          Poynor,     Kahlil 33    44.85 $1,480.05 $1,391.25
18-2418144          Duplan,    Shelton 33    47.93 $1,581.69 $1,486.79
73-6777091      Ollivierre,        Kev 15    35.82 $537.30 $505.06
73-6084361        Santello,    Jacques 21    42.60 $894.60 $840.92
40-2571353          Kamena,     Rhodie 25    40.56 $1,014.00 $953.16
32-8451862          Turton,         De 34    51.43 $1,748.62 $1,643.70
97-0167381         Saville,     Burtie 17    31.27 $531.59 $499.69
66-2844742           Pooke,      Junie 23    13.04 $299.92 $281.92
30-8724403           Caine, Jaquenette 28    35.83 $1,003.24 $943.05
30-8239146            Beri,      Lanae 30    40.36 $1,210.80 $1,138.15
12-8927074          Deehan,       Shep 30    17.44 $523.20 $491.81
26-1024904         Southon,      Emile 26    37.85 $984.10 $925.05
29-7143093        Jonathon,    Damiano 37    49.44 $1,829.28 $1,719.52
35-1303530          Jarrel,   Katheryn 27    32.31 $872.37 $820.03
21-2534372          Clulow,        Bay 25    25.53 $638.25 $599.95
